inchikey,smiles,name,n_papers,papers
VCIVELSSYHAWGC-UHFFFAOYSA-N,CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.F[P-](F)(F)(F)(F)F.[Ir+3],Photocatalyst PC4 (as listed in sch…,5,"Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; PhosphinePhotoredox_Catalyzed_Anti-Markovnikov_Hydroamination_of_Olefins_with_Primary_Sulfonamides_via_-Scission_from_Ph; Straightforward_synthesis_of_functionalized_-Lactams_using_impure_CO2_stream_as_the_carbon_source; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis; Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_"
NAMED__,,-----------,5,"Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes; Electrochemical_selective_hydrocarboxylation_of_acrylamides_with_carbon_dioxide_for_precise_control_of_-_and_-carboxylat; Green_synthesis_of_3,4-disubstituted_isoxazol-54H-one_using_Gluconic_acid_aqueous_solution_as_an_efficient_recyclable_me; cs2c04736; ol5c01129"
NAMED__chcl3,,CHCl 3,5,Access_to_a_new_class_of_synthetic_building_blocks_via_trifluoromethoxylation_of_pyridines_and_pyrimidines; Caffeine_as_a_naturally_green_and_biodegradable_catalyst_promoted_convenient_and_expedient_synthetic_route_for_the_synth; Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation; Direct_CH_difluoromethylation_of_heterocycles_via_organic_photoredox_catalysis; Enantioselective_catalytic_-amination_through_proton-coupled_electron_transfer_followed_by_stereocontrolled_radicalradic
IPLJNQFXJUCRNH-UHFFFAOYSA-L,[Ni](Br)Br,NiBr2(dMe-phen),5,NiPhotoredox-Catalyzed_Csp_sup3sup_Csp_sup3sup__Coupling_between_Aziridines_and_Acetals_as_Alcohol-Derived_Alkyl_Radical; Photoactive_electron_donoracceptor_complex_platform_for_Ni-mediated_Cspsup3supCspsup2sup_bond_formation; gg3c00053; jo3c00895; ol3c04246
LWIHDJKSTIGBAC-UHFFFAOYSA-K,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],K3PO4,4,Angiolini_ChemCatChem_10.1002_cctc.202500240; Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr; au4c00902; cs2c04736
CXNIUSPIQKWYAI-UHFFFAOYSA-N,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,Xantphos,4,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes; Palladium-catalyzed_thiocarbonylation_of_alkenes_toward_branched_thioesters_using_COsub2sub
NAMED__rubpy3cl2,,Ru(bpy) 3 Cl 2,4,Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Photocatalytic_metalorganic_frameworks_for_the_aerobic_oxidation_of_arylboronic_acids; iOrthoi_CH_arylation_of_arenes_at_room_temperature_using_visible_light_ruthenium_CH_activation; ol5c01129
NAMED__irdtbbpyppy2pf6,,[Ir(dtbbpy)(ppy) 2 ](PF 6 ),4,Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket; Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for; Visible-Light-Mediated_Deaminative_Three-Component_Dicarbofunctionalization_of_Styrenes_with_Benzylic_Radicals
OCMNCWNTDDVHFK-UHFFFAOYSA-L,COCCOC.Cl[Ni]Cl,NiCl2 · glyme,4,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224; CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; ol3c02389
NAMED__cs2co3,,Cs2CO3,4,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis; ol3c02389
ROFVEXUMMXZLPA-UHFFFAOYSA-N,C1=CC=NC(=C1)C2=CC=CC=N2,"bpy (2,2'-bipyridine)",4,Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium; catalysts-13-01126; gg3c00053
GCGRXVMGBHYMDA-UHFFFAOYSA-N,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=C(C(=C(C(=C3C#N)N(C4=CC=CC=C4)C5=CC=CC=C5)F)N(C6=CC=CC=C6)C7=CC=CC=C7)C#N,PC2 (3DPAFIPN),4,Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium; Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_; catalysts-13-01126
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,"aniline (N,N-dimethyl-4-methylanili…",4,Caffeine_as_a_naturally_green_and_biodegradable_catalyst_promoted_convenient_and_expedient_synthetic_route_for_the_synth; Direct_sulfonylation_of_anilines_mediated_by_visible_light; Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox; Zheng et al. - 2018 - Catalytic C−H Trifluoromethoxylation of Arenes and Heteroarenes
PXYCJKZSCDFXLR-UHFFFAOYSA-N,C1=CC(=CC=C1C(F)(F)F)P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F,P(4-CF3C6H4)3,4,Catalytic_direct_hydrocarboxylation_of_styrenes_with_CO2_and_H2; Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; PhosphinePhotoredox_Catalyzed_Anti-Markovnikov_Hydroamination_of_Olefins_with_Primary_Sulfonamides_via_-Scission_from_Ph; Selective_single_CF_bond_arylation_of_trifluoromethylalkene_derivatives
QYTDEUPAUMOIOP-UHFFFAOYSA-N,CC1(CCCC(N1[O])(C)C)C,1 eq. TEMPO,4,A_chiral_nickel_DBFOX_complex_as_a_bifunctional_catalyst_for_visible-light-promoted_asymmetric_photoredox_reactions; Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation; Ni_single_atoms_on_carbon_nitride_for_visible-light-promoted_full_heterogeneous_dual_catalysis; Yin et al. - 2020 - Photoredox Catalytic Trifluoromethylation and Perfluoroalkylation of Arenes Using Trifluoroacetic an
YGCZTXZTJXYWCO-UHFFFAOYSA-N,O=CCCc1ccccc1,3-phenylpropionaldehyde,4,Boselli et al. - 2023 - Enantioselective Catalytic Addition of N‐Acyl Radicals In Batch and In Flow Organophotoredox α‐Amin; Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium; ChromiumCatalyzed_PinacolType_CrossCoupling_Studies_on_Stereoselectivity; Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_
GQHTUMJGOHRCHB-UHFFFAOYSA-N,C1CCC2=NCCCN2CC1,DBU,4,"Dubois et al. - 2023 - Visible Light Photoredox-Catalyzed Decarboxylative Alkylation of 3-Aryl-Oxetanes and Azetidines via; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; sc5c11241"
NAMED__h2o,,H 2 O,4,Caffeine_as_a_naturally_green_and_biodegradable_catalyst_promoted_convenient_and_expedient_synthetic_route_for_the_synth; Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox; d2ra07064b; fchem-10-1087834
NAMED__irppy2dtbbpypf6,,[Ir(ppy) 2 (dtbbpy)]PF 6,3,"Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket; Dual_goldphotoredox-catalyzed_CspH_arylation_of_terminal_alkynes_with_diazonium_salts; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_"
BMGNSKKZFQMGDH-FDGPNNRMSA-L,C/C(=C/C(=O)C)/[O-].C/C(=C/C(=O)C)/[O-].[Ni+2],Ni(acac)2·2H2O,3,Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study; Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; ol3c04246
JRTIUDXYIUKIIE-KZUMESAESA-N,C1/C=C\CC/C=C\C1.C1/C=C\CC/C=C\C1.[Ni],Ni(COD)2,3,NiPhotoredox-Catalyzed_Csp_sup3sup_Csp_sup3sup__Coupling_between_Aziridines_and_Acetals_as_Alcohol-Derived_Alkyl_Radical; Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; Nickel-catalyzed_transamidation_of_aliphatic_amide_derivatives
QMMRZOWCJAIUJA-UHFFFAOYSA-L,Cl[Ni]Cl,NiCl2·6H2O,3,Ni_single_atoms_on_carbon_nitride_for_visible-light-promoted_full_heterogeneous_dual_catalysis; d3sc04645a; ol3c04246
VQYPWMWEJGDSTF-UHFFFAOYSA-N,[B-](F)(F)(F)F.C1=CC=C(C=C1)C2=CC(=[O+]C(=C2)C3=CC=CC=C3)C4=CC=CC=C4,TPT,3,Becker et al. - 2017 - Cooperative Light‐Activated Iodine and Photoredox Catalysis for the Amination of C−H Bonds; Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene; Direct_sulfonylation_of_anilines_mediated_by_visible_light
XAARDWSLAZLSJR-UHFFFAOYSA-N,C1=CC=CC=2C3=CC=CC=C3N(C12)C1=C(C(=C(C(=C1C#N)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12,PC1 (5CzBn),3,Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium; Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_
USHAGKDGDHPEEY-UHFFFAOYSA-L,[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+],K2S2O8,3,Direct_sulfonylation_of_anilines_mediated_by_visible_light; ao3c10008; ol3c04246
DGEZNRSVGBDHLK-UHFFFAOYSA-N,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,"1,10-phenanthroline",3,Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; gg3c00053; ol3c04246
SBYHFKPVCBCYGV-UHFFFAOYSA-N,C1CN2CCC1CC2,Quinuclidine,3,Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Ni_single_atoms_on_carbon_nitride_for_visible-light-promoted_full_heterogeneous_dual_catalysis; Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids
WLPUWLXVBWGYMZ-UHFFFAOYSA-N,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,PCy 3,3,Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; Palladium-catalyzed_thiocarbonylation_of_alkenes_toward_branched_thioesters_using_COsub2sub; PhosphinePhotoredox_Catalyzed_Anti-Markovnikov_Hydroamination_of_Olefins_with_Primary_Sulfonamides_via_-Scission_from_Ph
OXBLHERUFWYNTN-UHFFFAOYSA-M,[Cu]Cl,Cu(IPr)Cl,3,Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich; Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study
VEXZGXHMUGYJMC-UHFFFAOYSA-N,Cl,then 2 N HCl,3,Arylcarboxylation_of_unactivated_alkenes_with_CO2_via_visible-light_photoredox_catalysis; Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis; Tertiary_Alcohols_as_Radical_Precursors_for_the_Introduction_of_Tertiary_Substituents_into_Heteroarenes
NAMED__dmc,,DMC,3,fchem-10-1087834; ol3c02389; sc5c11241
CZNGTXVOZOWWKM-UHFFFAOYSA-N,COC(=O)c1ccc(Br)cc1,C8H7BrO2,3,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides; gg3c00053
KTQRXOPFEMREQO-UHFFFAOYSA-N,CC(C)(C)C1=CC=NC(=C1)C2=C(C=C(C=N2)C(C)(C)C)[Ir+]34(C5=C(C=C(F)C=C5C(F)(F)F)C6=NC=CC=C63)(C7=C(C=C(F)C=C7C(F)(F)F)C8=NC=CC=C84).F[P-](F)(F)(F)(F)F,(Ir[dF(CF 3 )ppy] 2 (dtbbpy))PF 6 c,3,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Angiolini_ChemCatChem_10.1002_cctc.202500240; Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid
PBGVMIDTGGTBFS-UHFFFAOYSA-N,C=CCCc1ccccc1,C10H12,3,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes; catalysts-13-01126
KUSMTNSIMOXCEC-UHFFFAOYSA-N,C1=CC=C(C(=C1)C2=CC=CC=N2)[Ir](C3=CC=CC=N3)(C4=CC=CC=N4)C5=CC=CC=C5.C6=CC=CC=C6.C7=CC=CC=C7,Ir(ppy)3,3,"Ptscpiiscp_coordination_complexes_as_visible_light_photocatalysts_for_the_oxidation_of_sulfides_using_batch_and_flow_pro; Transition_metal-free_visible_light_photoredox-catalyzed_remote_Csp3H_borylation_enabled_by_1,5-hydrogen_atom_transfer; ol3c01795"
JAZWLEYGTKXZCJ-UHFFFAOYSA-N,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir],fac-[Ir(ppy)3],3,"Arai et al. - 2016 - Oxydifluoromethylation of Alkenes by Photoredox Catalysis Simple Synthesis of CF2 H‐Cont; Boselli et al. - 2025 - Visible‐Light Photoredox Catalytic Direct N ‐(Het)Arylation of Lactams; Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction"
CAKMROUTAVPFAR-UHFFFAOYSA-N,C1=CC=C(C(=C1)C2=CC=CC=N2)[Ir](C3=CC=CC=N3)(C4=CC=CC=N4)(C5=CC=CC=C5)C6=CC=CC=C6,Ir-1 (fac-Ir(ppy)3),3,"Arylcarboxylation_of_unactivated_alkenes_with_CO2_via_visible-light_photoredox_catalysis; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_; Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids"
IMEVSAIFJKKDAP-UHFFFAOYSA-N,COC1=CC(=NC=C1)C2=NC=CC(=C2)OC,"4,4'-dMeObpy (4,4'-dimethoxy-2,2'-b…",3,Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224; Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium
<mismatch>,<mismatch>,Photocatalyst PC1 (as listed in sch…,3,Arylcarboxylation_of_unactivated_alkenes_with_CO2_via_visible-light_photoredox_catalysis; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis; gg3c00053
HXITXNWTGFUOAU-UHFFFAOYSA-N,OB(O)c1ccccc1,phenylboronic acid,3,Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; Photocatalytic_metalorganic_frameworks_for_the_aerobic_oxidation_of_arylboronic_acids; Selective_single_CF_bond_arylation_of_trifluoromethylalkene_derivatives
BIOPPFDHKHWJIA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2C#N)C#N,"DCA (9,10-dicyanoanthracene)",3,Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene; Direct_CH_difluoromethylation_of_heterocycles_via_organic_photoredox_catalysis; Visible_light-mediated_oxidative_decarboxylation_of_arylacetic_acids_into_benzyl_radicals_addition_to_electron-deficient
PPBRXRYQALVLMV-UHFFFAOYSA-N,C=Cc1ccccc1,C8H8,2,Palladium-catalyzed_thiocarbonylation_of_alkenes_toward_branched_thioesters_using_COsub2sub; cs2c04736
QMABMHJGSFUTPF-UHFFFAOYSA-N,CC(C)(C)C1=CC(=NC=C1)C2=CC(=CC(=N2)C3=NC=CC(=C3)C(C)(C)C)C(C)(C)C,tBu3-TERPY,2,Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac
CDVAIHNNWWJFJW-UHFFFAOYSA-N,CC1=C(C(C(=C(N1)C)C(=O)OCC)C)C(=O)OCC,C14H21NO4,2,Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_; Photoactive_electron_donoracceptor_complex_platform_for_Ni-mediated_Cspsup3supCspsup2sup_bond_formation
DTQVDTLACAAQTR-UHFFFAOYSA-N,C(=O)(C(F)(F)F)O,TFA,2,Visible-light-mediated_Minisci_CH_alkylation_of_heteroarenes_with_unactivated_alkyl_halides_using_Osub2sub_as_an_oxidant; Yin et al. - 2020 - Photoredox Catalytic Trifluoromethylation and Perfluoroalkylation of Arenes Using Trifluoroacetic an
MVPPADPHJFYWMZ-UHFFFAOYSA-N,C1=CC=C(C=C1)Cl,PhCl,2,catalysts-13-01007-v2; molecules-27-01980-v2
KWYHDKDOAIKMQN-UHFFFAOYSA-N,CN(C)CCN(C)C,"N,N,N',N'-Tetramethylethylenediamin…",2,catalysts-13-01126; fchem-10-1087834
GWPUNVSVEJLECO-UHFFFAOYSA-N,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.F[B-](F)(F)F.F[B-](F)(F)F.[Ru+2],[Ru(bpy)3][BF4]2,2,"NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_; Visible_light-mediated_oxidative_decarboxylation_of_arylacetic_acids_into_benzyl_radicals_addition_to_electron-deficient"
NAMED__csf,,CsF,2,Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; ja4c02474
OPQARKPSCNTWTJ-UHFFFAOYSA-L,CC(=O)[O-].CC(=O)[O-].[Cu+2],Cu(OAc)2,2,Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes; ao3c10008
VDCSGNNYCFPWFK-UHFFFAOYSA-N,c1ccc([SiH2]c2ccccc2)cc1,diphenylsilane (Ph2SiH2),2,Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes; Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes
ONQBUHWENXKHHP-UHFFFAOYSA-N,c1ccc(N2CCc3ccccc3C2)cc1,C15H15N,2,"No_photocatalyst_required__versatile,_visible_light_mediated_transformations_with_polyhalomethanes; Zhao et al. - 2014 - Dicyanopyrazine-derived push–pull chromophores for highly efficient photoredox catalysis"
MUDSDYNRBDKLGK-UHFFFAOYSA-N,Cc1ccnc2ccccc12,C10H9N,2,Tertiary_Alcohols_as_Radical_Precursors_for_the_Introduction_of_Tertiary_Substituents_into_Heteroarenes; Visible-light-mediated_Minisci_CH_alkylation_of_heteroarenes_with_unactivated_alkyl_halides_using_Osub2sub_as_an_oxidant
NAMED__ar,,Ar,2,Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study; jo3c00895
NAMED__irdfcf3ppy2bpypf6,,[Ir(dFCF3ppy)2(bpy)]PF6,2,ja4c02474; ol3c04246
NAMED__ir,,[Ir],2,ja4c05272; ol3c02389
KSZVOXHGCKKOLL-UHFFFAOYSA-N,C#Cc1ccc(C)cc1,C9H8,2,Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study; Dual_goldphotoredox-catalyzed_CspH_arylation_of_terminal_alkynes_with_diazonium_salts
VXTXIRMTGIZWEI-UHFFFAOYSA-N,O=C(ON1C(=O)c2ccccc2C1=O)C1CCCCC1,NHP ester,2,Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac
WCUXLLCKKVVCTQ-UHFFFAOYSA-M,[Cl-].[K+],KCl instead of LiCl,2,Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr; Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids
OYPPRNFDAGPGBZ-UHFFFAOYSA-N,COc1ccc(C2CC2)cc1,C10H12O,2,"Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr; Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_"
KWGKDLIKAYFUFQ-UHFFFAOYSA-M,[Li+].[Cl-],LiCl (2 equiv. instead of 4 equiv.),2,Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr; Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids
GETTZEONDQJALK-UHFFFAOYSA-N,C1=CC=C(C=C1)C(F)(F)F,Trifluorotoluene (PhCF3),2,Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_; PhosphinePhotoredox_Catalyzed_Anti-Markovnikov_Hydroamination_of_Olefins_with_Primary_Sulfonamides_via_-Scission_from_Ph
CXKWCBBOMKCUKX-UHFFFAOYSA-M,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],C16H18ClN3S,2,Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_; Direct_CH_difluoromethylation_of_heterocycles_via_organic_photoredox_catalysis
AQRLNPVMDITEJU-UHFFFAOYSA-N,CC[SiH](CC)CC,triethylsilane (Et3SiH),2,Palladium-catalyzed_thiocarbonylation_of_alkenes_toward_branched_thioesters_using_COsub2sub; Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes
LAXRNWSASWOFOT-UHFFFAOYSA-J,CC1=CC=C(C=C1)C(C)C.CC1=CC=C(C=C1)C(C)C.Cl[Ru]Cl.Cl[Ru]Cl,[RuCl2(p-cymene)]2,2,"Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac; ao3c10008"
XYIBRDXRRQCHLP-UHFFFAOYSA-N,CCOC(=O)CC(C)=O,ethyl acetoacetate,2,"Green_synthesis_of_3,4-disubstituted_isoxazol-54H-one_using_Gluconic_acid_aqueous_solution_as_an_efficient_recyclable_me; d2ra07064b"
NAMED__co21atm,,CO2 (1 atm),2,Photocatalytic_synthesis_of_tetra-substituted_furans_promoted_by_carbon_dioxide; Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids
HLBBKKJFGFRGMU-UHFFFAOYSA-M,C(=O)[O-].[Na+],HCO2Na,2,Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for; jo3c00895
FAPWRFPIFSIZLT-UHFFFAOYSA-M,[Na+].[Cl-],sodium chloride,2,Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids; Visible-Light-Mediated_Deaminative_Three-Component_Dicarbofunctionalization_of_Styrenes_with_Benzylic_Radicals
LGCYBCHJTSUDRE-UHFFFAOYSA-N,C=C(C)C(=O)N(C)c1ccccc1,C11H13NO,2,Electrochemical_selective_hydrocarboxylation_of_acrylamides_with_carbon_dioxide_for_precise_control_of_-_and_-carboxylat; catalysts-13-01007-v2
IPWKHHSGDUIRAH-UHFFFAOYSA-N,B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C,TBAPF6 (supporting electrolyte),2,Electrochemical_deoxygenative_trifluoromethylallenylation_of_propargylic_alcohols_iviai_sodium-mediated_pre-association; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac
RMVRSNDYEFQCLF-UHFFFAOYSA-N,C1=CC=C(C=C1)S,PhSH,2,Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene; Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for
PBCJIPOGFJYBJE-UHFFFAOYSA-N,CC#N.O,Acetonitrile:Water,2,Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox; ja4c05272
